seed,item,m,U,E_netted,se_slope_netted,E_raw,depth_netted_last,net_max_over_min,raw_max_over_min,first_chunk,last_chunk
2,35,18,0,1.845648e-08,1.180062e-09,2.497421e-02,0.574819,1.000000612,2.363162,12,46
2,37,18,91,1.815243e-08,1.175229e-09,2.497421e-02,0.633411,1.000000628,2.363162,12,46
2,39,17,40,1.823336e-08,1.217695e-09,2.443628e-02,0.608797,1.000000641,2.181473,14,46
2,40,17,18,1.822885e-08,1.169638e-09,2.443628e-02,0.768681,1.000000577,2.181473,14,46
2,42,17,328,8.293480e-09,1.525509e-09,1.284315e-02,0.466352,1.000000282,1.584075,14,46
2,44,17,0,1.653100e-08,1.533099e-09,2.443628e-02,0.511344,1.000000507,2.181473,14,46
2,46,16,113,1.637565e-08,1.656983e-09,2.192648e-02,0.626515,1.000000553,1.858929,16,46
2,47,16,0,1.804630e-08,1.811754e-09,2.405883e-02,0.455090,1.000000574,2.013753,16,46
2,48,16,0,1.704836e-08,1.457784e-09,2.405883e-02,0.498281,1.000000523,2.013753,16,46
2,50,16,0,1.597499e-08,1.647511e-09,2.405883e-02,0.419683,1.000000524,2.013753,16,46
2,53,15,0,1.578586e-08,1.845119e-09,2.396430e-02,0.519643,1.000000517,1.973878,18,46
2,58,14,68,9.828587e-09,2.119791e-09,1.934067e-02,0.433256,1.000000354,1.716007,20,46
2,59,14,9,1.512868e-08,1.957848e-09,2.336265e-02,0.485145,1.000000449,1.858929,20,46
2,60,14,0,1.347465e-08,2.114595e-09,2.336265e-02,0.476371,1.000000395,1.858929,20,46
2,63,13,13,1.479081e-08,2.152893e-09,2.269232e-02,0.419996,1.000000441,1.716007,22,46
2,64,13,40,1.301150e-08,2.456307e-09,2.269232e-02,0.407665,1.000000386,1.716007,22,46
2,65,13,102,1.302443e-08,3.093353e-09,2.148353e-02,0.428836,1.000000362,1.648722,22,46
2,67,13,0,1.091657e-08,2.267476e-09,2.269232e-02,0.489616,1.000000343,1.716007,22,46
2,69,12,663,1.718534e-09,7.910839e-10,2.167835e-03,0.570223,1.000000072,1.083287,24,46
2,73,12,44,1.031395e-08,2.883673e-09,2.241260e-02,0.516774,1.000000287,1.648722,24,46
2,75,11,56,1.147761e-08,2.480070e-09,1.909093e-02,0.508741,1.000000236,1.491825,26,46
2,77,11,43,8.513179e-09,3.163771e-09,2.181819e-02,0.354624,1.000000259,1.584074,26,46
2,82,10,0,1.121870e-08,4.000166e-09,2.066668e-02,0.426502,1.000000297,1.462285,28,46
2,83,10,65,1.455804e-08,4.287593e-09,1.842426e-02,0.328807,1.000000298,1.404948,28,46
2,84,10,74,1.014383e-08,3.668800e-09,2.066668e-02,0.427842,1.000000254,1.462285,28,46
2,85,10,16,1.408202e-08,4.097807e-09,2.066669e-02,0.459119,1.000000313,1.462285,28,46
2,88,9,15,1.623104e-08,5.209611e-09,2.016669e-02,0.360437,1.000000306,1.377128,30,46
2,90,9,23,1.824785e-08,3.520139e-09,2.016669e-02,0.358072,1.000000293,1.377128,30,46
2,91,9,0,1.717854e-08,3.427522e-09,2.016669e-02,0.361564,1.000000299,1.377128,30,46
2,94,8,0,2.232207e-08,3.264580e-09,2.023812e-02,0.430481,1.000000319,1.323130,32,46
2,98,8,0,2.099977e-08,4.536496e-09,2.023812e-02,0.554365,1.000000325,1.323130,32,46
2,100,7,283,2.685075e-09,1.205175e-09,4.642865e-03,0.446758,1.000000041,1.061837,34,46
2,102,7,18,1.987172e-08,5.837487e-09,2.035717e-02,0.361041,1.000000285,1.271250,34,46
2,109,6,27,1.776891e-08,5.802237e-09,2.057145e-02,0.350664,1.000000208,1.246077,36,46
2,112,5,0,2.001440e-08,5.145051e-09,1.800002e-02,0.430778,1.000000161,1.150274,38,46
2,113,5,0,1.643474e-08,5.370532e-09,1.800002e-02,0.365218,1.000000159,1.150274,38,46
2,114,5,0,1.262546e-08,6.164237e-09,1.800002e-02,0.382672,1.000000132,1.150274,38,46
2,116,5,53,1.966909e-09,3.779343e-09,9.000008e-03,0.321227,1.000000052,1.083287,38,46
2,117,4,13,-2.383203e-10,5.496057e-09,2.000001e-02,0.427409,1.000000046,1.127497,40,46
